Hospital,Billing Amount
"Byrd, Jones James and",39591.159009674826
Mcguire-Livingston,39590.51654439176
Page-Smith,39590.04125175745
"and Wise Williams Shepherd,",39588.72139540967
Hunter-Todd,39588.6398140566
"Fitzpatrick Ford Ball, and",39588.22875775235
"Nelson and Davis, Sutton",39587.57190436733
Sanchez Sons and,39586.320117700874
"and Lee Martin Miller,",39586.28560207979
"Higgins Cruz Cook, and",39586.123821139896
"Marquez Daniels Rodriguez, and",39582.43614998288
Boyer-Mcdonald,39579.94717153819
"Vasquez, and Davis Martinez",39578.50908470679
"Wright Patterson and Brown,",39578.32790801507
"Garcia, Gilbert Hill and",39578.29076706914
Ltd Liu,39576.9934495586
"Harris, and Harvey Garcia",39576.35072927278
Estrada PLC,39575.05274412192
Graham-Martinez,39573.82514395827
"Sanchez Blackburn Perkins, and",39572.348872384646
and Henry Sons,39571.98928601239
Sons Wallace and,39571.7305186339
Stevens-Miller,39571.64313565865
"Kelly, Patterson and Lucas",39570.180658097706
"and Donovan, Sullivan Jones",39569.38198461314
Henson-Walker,39569.123441838565
Rodgers-Hess,39565.019920579965
Nelson-Garcia,39564.877308672
Li-Daniels,39563.57229564257
"Hansen Smith Li, and",39563.26007210806
Inc Hudson,39561.23043790755
Mayo PLC,39557.33676046599
Inc Dominguez,39557.3337618155
Floyd-Castro,39555.58025998552
"Fox, and Lucas Cain",39553.11649082513
"Hudson, Robertson Johnson and",39551.77276252634
"Moore and Rhodes Lang,",39547.38118934568
"and Garcia, Martin Jackson",39546.57994904178
"Harris Kirk Marshall, and",39546.02936030449
"James and Barajas, Espinoza",39545.26392649031
"Williams, Ortega and Gross",39543.98237003689
"Johnston Jones, Hansen and",39542.195949140005
Hunter-Carter,39541.69512957993
"Williams Rich and Baird,",39540.269600322434
"Jackson Clark, and May",39539.51185908745
"and Young King, Faulkner",39538.46948663671
"and Green Cooper Davis,",39537.11301208305
Brown-Farmer,39533.30077460466
"and Miller, Gonzalez Hall",39533.20522523566
Inc Bishop,39533.13596960262
Lopez-Kelley,39533.08773004674
"Underwood, and Scott Wallace",39525.87553536331
Short and Sons,39525.67490179259
Jensen-Gilmore,39524.56327562399
Morrison Sons and,39522.71985497939
"Smith Johnson Pruitt, and",39522.667373993776
Tran-Garrett,39521.8152864966
Gray-Sanders,39521.79472050024
"Gibbs, and Thomas Clark",39520.28448699346
Monroe-Mcclure,39518.504215285
"Rodriguez, Gentry and Tate",39518.02267055632
Oconnell Group,39514.73067106065
Fry-Shields,39514.48763976751
"and Alvarez Johnson, Nguyen",39514.39271963704
Johnson-Jennings,39513.91522906394
Gray-Mckinney,39512.96852974023
Boyd-Schmidt,39511.61100987118
PLC Ali,39511.2339264083
Osborn Inc,39511.21620516804
"Davidson and Lane, Maldonado",39510.29124947822
"Murphy, and Rangel Thompson",39508.57531224787
Morris-Crawford,39504.56000155567
and Sons Edwards,39504.36848637927
Brown-Ruiz,39503.8658560402
Montgomery-Kirby,39502.82732755455
Reyes-Harvey,39502.42459466367
Sanchez-Lamb,39502.20111536551
Esparza-Alvarado,39502.09491928721
Harrison PLC,39499.16261632694
"Rojas and Rojas, Rowe",39496.62767892316
Group Beck,39494.05481899151
Roth-Stephenson,39493.66582997144
"Hernandez and Marsh, Kim",39492.46709654826
Cook-Larsen,39490.28063270587
"Mcmahon, Adams and Wright",39488.28853926624
PLC Kramer,39482.72398404648
Martinez-Franklin,39480.8088414742
Powell-Haney,39479.49009315946
Smith-Holmes,39477.3789279734
Lindsey Inc,39476.94751437997
Brooks-Bartlett,39476.81585199237
"Goodman and Barker Allen,",39475.179771986695
"Adams, Randall Powers and",39471.35359322657
Greene-Fritz,39471.28288776351
Blair and Sons,39470.50871970389
Lee-Pearson,39468.69821946381
LLC Hurst,39468.67843435288
Obrien-Munoz,39467.86982065267
and Sons Bradford,39467.49110667444
"and Rivera Hunt, Hill",39464.96503497067
Forbes-Johns,39464.40762686596
Roberts-Reynolds,39464.09146957663
"Rodriguez Meadows, Kelley and",39462.69457127228
and Craig Sons,39461.29369687753
"Wall Adams Ayala, and",39459.16732368616
Beck-Nelson,39459.05319967743
"Stanley, Garrett and Wiley",39458.41108947405
"Foster Winters, Soto and",39456.90791631216
Chavez-Smith,39452.68525375373
Bonilla Inc,39452.53194136934
Horton-Hill,39450.945370549285
Reilly-Salinas,39450.20132130903
Stanley-Ferguson,39450.191967463004
Macias-Ross,39448.913200269366
"and Anderson, Porter Becker",39448.88650939782
"Melton and Thomas Castaneda,",39448.482138438216
"Norton and Miranda Simmons,",39447.3349830348
PLC Solis,39447.20024235232
"Walker, Wallace and Ware",39445.07025793607
"and Cohen Jones, Barnes",39440.75651092235
Parker-Adams,39437.8187610586
"Sanchez, Davis and Arnold",39435.96580304327
Smith-Wu,39434.65355494188
"and Hernandez Wallace Frost,",39434.23226235155
Jackson-Evans,39424.9430414818
"and Walker Kennedy, Miller",39424.29572579298
Rich Ltd,39421.80190823727
PLC Villegas,39421.49307079281
Nelson-Lane,39421.370652401245
Riley-Frazier,39421.23612037836
Andersen-Thompson,39421.10868367611
Johnson-Diaz,39418.816746715376
Hughes-Smith,39417.90368640413
"and Garcia, Steele Christensen",39417.57324712461
Butler-Smith,39416.93024251605
Oliver-Camacho,39414.02758080239
Johnston-Garcia,39412.26107338753
Fisher-Burch,39411.65247376282
"Meyers Thompson Santiago, and",39409.98784220571
Hamilton-Barker,39406.7605310079
"Perry Stewart and Vincent,",39406.22840441192
"Greer, and Welch Banks",39403.59788556744
Greene Inc,39401.31684450852
and Ferguson Sons,39401.06767369093
Hernandez-Villegas,39400.3229712496
"Kim Garrett, Lindsey and",39399.32259546939
Sons and Singh,39398.31235711333
"and Scott Johnson, Smith",39395.55992074743
Olson-Martin,39395.1649537836
"Burns Rowe Schultz, and",39392.20648376621
"Miller, Oneal Best and",39389.38258342614
Sons Webb and,39389.29288273264
Galloway-Rodriguez,39384.82530640294
Martin-Schmidt,39384.154948357405
"Thompson, Little Trujillo and",39383.89286476823
"and Oneal Harding Jones,",39383.59873631649
"Krueger Manning Santiago, and",39382.43224932869
"Hall and Sheppard, Solis",39382.41080730589
and Boone Sons,39382.178620954
"Grant Bailey, Andrade and",39381.53973214399
Diaz-Case,39381.123810926656
Bolton-Bell,39379.11536489366
Thompson-Jones,39379.01531675196
Taylor-Kirk,39378.58080125575
PLC Hampton,39376.06225868771
Scott-Burns,39371.55469509245
"Peters, and Williams Cox",39370.14792366127
"Mccarty, Mcbride and Ruiz",39368.406457970814
Garcia-Barnett,39367.45660700584
"Perkins, Palmer Brooks and",39365.470757672025
"Hall Johnson and Webster,",39364.72909083284
"Campbell and Lam Fuentes,",39364.02371073803
"Mcintosh and Arellano Jackson,",39361.62414446044
"Young, Davis and Farrell",39360.13787267822
Lowery-Howard,39357.45973990502
Edwards-Powell,39357.2137272071
"Hamilton and Hansen Carrillo,",39356.69358108828
Sons Reyes and,39356.2914199401
"Jones, and Taylor Calhoun",39355.86346467464
"Montgomery and Morris Morgan,",39355.429582713376
Roberson-Jones,39354.98176043071
"Walton and Wise Daniel,",39349.730591393934
Manning Inc,39348.870588042286
"Jackson, Campos Best and",39347.87925056335
"Hopkins, Bradley Mercado and",39346.9799592784
Nelson-Contreras,39346.73138959788
"and Ball, Robinson Wade",39342.88671111675
Huang-Cooper,39342.49906300813
Mccormick-Lozano,39339.26081741801
Johnson-Stephens,39332.42545120751
"Barnett Robinson, Williams and",39328.4406890555
Thomas-White,39327.392783111995
Group Flowers,39327.295509304655
"and Ferguson Monroe Mccarty,",39327.072818075605
Wong-Robinson,39326.85312948912
LLC Cherry,39326.672610124595
"Allen Black, and Collins",39325.20174327928
"Miller Miller Santos, and",39324.141737914746
"Livingston, and George Brewer",39323.89706792671
Porter-Barron,39322.10319891251
Scott Sons and,39320.82752020443
Boyd-Flores,39319.741459768855
"Cantrell Lane, Diaz and",39319.31308679857
"Johnson Shepherd and Silva,",39319.25883265093
"and Bailey Meza, Jones",39318.320070056776
Peters-Jones,39316.78374598675
James-Parker,39316.45763580778
Ray-Hickman,39315.84122790938
"Lane, Gordon and Mahoney",39315.2791115802
Fisher LLC,39313.333788957505
"Ramirez Cook Caldwell, and",39312.07968944382
Inc Wilkins,39310.61231790527
"Mullins and Murphy, Martin",39310.42771742788
"Olson Frank, and Simon",39308.71439698318
Brown-Schneider,39305.95738582786
Inc Bray,39305.20729950892
"Wright Woodard, Jones and",39303.0269015409
Arroyo-Jackson,39301.29271838705
Thomas-Harris,39300.42878135788
Inc Huynh,39297.95698662714
Dennis Group,39293.043648647894
Marshall-Mann,39292.3519115021
Anderson-Mullins,39291.815219326745
"Sloan Jones, and Phillips",39289.078071590695
"Schneider Craig and Blake,",39288.73201633887
"Torres, Norris Simmons and",39286.03164988402
"Gonzalez and Lopez Smith,",39283.64311074353
"Lyons, and Campbell Kerr",39282.36847719716
"Kent and Spencer Sexton,",39280.99775692408
Vazquez-Bowen,39280.00139668153
Warner-Fowler,39278.81321290574
Pratt-Patterson,39277.31238400916
"Wade Pearson Murphy, and",39276.5400155153
Group Potts,39273.721739628985
"Winters Jones, Bowers and",39272.76118600114
"Murphy, Anderson and Thompson",39266.11789411677
"Larson Andrews, and Lynch",39265.64605454515
"Johnson, Reynolds Williamson and",39264.4358131435
Andrade Group,39264.31727113753
Novak PLC,39263.35296747266
Group Vang,39259.29567025564
Group Dodson,39258.97963108465
Inc Mcintyre,39258.946928918784
Welch-Cervantes,39258.803873607954
"Berg, Perkins and Chan",39257.03346113062
"Collins, and Fields Campbell",39255.67773807829
"Alexander Patton, Lowery and",39252.17654558961
"Willis and Hunt Pope,",39250.44743870776
Mitchell and Sons,39248.9805184996
Wright-Carr,39248.73138436315
Hammond-Davis,39247.11113234557
Oconnor-Rogers,39244.81218904227
"Collins, and Williams Jackson",39242.97764631681
Simmons-Shelton,39242.62834273394
"Peters Wong and Lee,",39240.21115426743
Evans-Johnson,39238.33913257614
Erickson-Alexander,39237.675313830005
Gardner-Walsh,39232.800524449856
Nguyen-Casey,39232.63526828453
Jordan-Campbell,39231.22967478607
Cross-Cisneros,39228.611071684565
Vasquez-Buckley,39227.35966331352
Freeman-Roberts,39226.412003998325
"Malone Johnson Salazar, and",39225.60690236968
"Evans Jones Hughes, and",39224.98768633294
"Munoz Nguyen Marshall, and",39224.72736363663
"Chavez and Hammond, White",39224.63129213494
Group Larsen,39223.00285310761
Ritter-Jensen,39219.59372959769
Lawson-Reeves,39219.49608699178
"Butler, Butler Coleman and",39218.642776477645
"Smith James and Salazar,",39218.20274651858
"Williams Jimenez, and Reynolds",39218.10224497177
Dunn-Taylor,39217.97888465938
"and Luna Ochoa, Welch",39216.91397857235
"Baldwin and Santos Potter,",39215.79703746986
"Alvarez Garcia, and Watkins",39214.32216348669
"and Wells Murphy, Valdez",39213.7072876143
"and Fuller, Morrow Turner",39208.75237417951
Ltd Davila,39206.975129018894
"and Swanson Norris Thomas,",39205.60994202008
Reese-Benjamin,39205.29313699534
Martinez-Richard,39204.251253533286
Bryan Inc,39201.821177162274
Hall-Mckinney,39197.590055487046
Franklin-Horn,39195.24129656302
Fisher-Evans,39195.03573504902
Lee-Meyer,39194.54382516047
Hicks-Cervantes,39189.61607054379
"Miller Reid Davis, and",39187.93920926323
"Williams and Romero, Cole",39186.76904472433
Chambers-Lucas,39186.43907967734
"Brooks Roberts, and Boyer",39182.18064586293
Group Lane,39181.820146844955
Koch-Brown,39181.54890225171
Green-Wilson,39181.01236202967
"Young Wilkerson Flores, and",39180.520673451305
Carpenter-Chen,39180.2990948298
Taylor-Hernandez,39177.34271674089
Austin-Evans,39176.81371632306
Pope LLC,39174.37791200078
"Watkins, Wang and Henson",39172.04691255154
"and Williams Lopez Conrad,",39168.642981677534
Lewis-Simpson,39167.54875792052
Obrien-Sutton,39167.43317294741
Inc Espinoza,39166.559525576
"Burgess, Massey Osborne and",39166.45521686429
Phillips-Henry,39162.409548671145
"Lewis, and Thompson Smith",39160.45714813056
"and Lester Griffith, Weiss",39160.44798265076
"Thompson, Hunt Hughes and",39160.20150084876
"Brown, Stevens Tran and",39156.12021994612
"Morrison Espinoza Roberts, and",39156.102600032784
Osborn-Newman,39155.16574188615
"Larson, Deleon Edwards and",39152.10982810988
"and Hunter Glenn Scott,",39151.456827145405
"Mayo Williams, and Grant",39150.805150964254
"Wilson and Williams Kane,",39150.45397264967
"Marks Williams, Bates and",39149.47164581117
Macdonald and Sons,39148.17680247225
"Dunn and Brooks Allen,",39146.73638570271
Hayes-Flores,39146.29733328037
Rosario-Hoffman,39146.00226125756
Browning-Black,39145.71237546975
"Nelson and Herring, Moore",39143.70450582176
"and Smith Wang, Pham",39143.601204939536
"Lewis and Carlson Johnson,",39143.25449291998
Martin-Huerta,39140.18784425759
Lyons-Thompson,39139.27306161352
"and Brock Villarreal, Sanchez",39138.68251934436
Cabrera-Moore,39138.5882540104
Horton PLC,39134.97180866491
"Adams Wilson, Newton and",39133.44246789615
Turner-Frank,39130.11970569035
"Norton and Kennedy, Ruiz",39127.7292932776
"Smith, Ayala and Lawson",39127.25655043232
"and Thomas Cunningham, Curtis",39125.04672928072
"Costa, Jones and Chavez",39123.50604820709
Alvarez-Flynn,39123.35025009914
Kane-Tucker,39120.92076855707
Macdonald-Randolph,39119.11898804078
Harris-George,39118.73053908775
Inc Ramos,39118.37999785766
"and Massey Grant, Vega",39118.02437575046
LLC Benton,39117.12416136108
Ruiz-Schroeder,39115.31146102409
Moody-Sawyer,39114.18108272943
Everett-Gross,39111.51613130624
"Wang and Ortega Brown,",39107.72647631479
"Robinson and Moore Rhodes,",39105.58180963553
Johnson-Petersen,39102.56972140394
Wallace-Elliott,39101.81712932424
Wilkins Group,39100.9800715464
"Owens, Gay Horton and",39098.87347677669
Nixon-Taylor,39098.312282005885
Beck-Wells,39096.80163273947
"Mcgrath, Ford and Whitaker",39093.898149173045
"Jones, and Lee Myers",39092.77718760131
Snow-Patton,39089.93681234998
"Rosario Wells, Roberts and",39089.86606134463
"Weaver and Burch, Sanders",39089.86555234056
"Johnson Thompson, and Marquez",39089.60912998439
Contreras-Vasquez,39086.85236204158
"and Peters May, Mitchell",39086.32639358987
Smith-Jenkins,39086.14898013363
Watts-Smith,39084.02921079279
Miller-Ross,39083.83423013469
Bernard-Taylor,39082.100029295965
"Gordon and Whitaker Smith,",39081.07642128801
Coleman-Graham,39080.7678168029
Ross-Rangel,39079.17334485815
Payne-Davis,39076.24381188033
"Richardson Jones, and Scott",39075.18790491922
Taylor-Castillo,39072.59006256051
Holt-Strickland,39066.973129530925
"Turner and Hale, Carroll",39066.50579908012
Reeves-West,39066.26468811792
"Spencer Hardy Williams, and",39065.08697903156
"Barber Mcdowell and Thompson,",39063.091051755146
Nguyen-Kennedy,39062.21898413038
Gonzalez-Williamson,39057.941751588536
Vasquez-Kaufman,39057.38879919999
Clarke-Berry,39056.07951695592
Peterson-Young,39054.53371719296
"and Cummings Hill Morris,",39054.16260293511
"Hall and Montgomery King,",39053.04522697317
Choi-Fowler,39046.02039759653
"and Wheeler Armstrong, Vazquez",39045.72376829976
Gonzalez-Christensen,39042.050899302165
Ray-Flores,39041.34017204091
Mack-Logan,39039.482953115046
Winters-Middleton,39038.2488611681
Cantu-Hendricks,39036.58641100677
"and Pittman Park, Rice",39036.05506311204
Sanders-Green,39034.69865533736
Spencer-Wiley,39032.21989838228
"Williams, and Nelson Cross",39030.1184160524
"Smith Brown and Grimes,",39029.99747516973
Inc Pope,39029.46052891178
"and Bryant Burton, Perry",39027.01226522363
"Lowe Zavala and Mcdonald,",39023.89270901265
"Walker, Kennedy and Williamson",39023.83284346854
Scott-Burch,39021.23341637528
Thomas-Odonnell,39020.29793846059
PLC Parsons,39019.94701290234
Reilly LLC,39017.000661646714
"Sellers and Lawson Hunter,",39015.81657865013
Shah LLC,39014.73370987449
"Daniels Rogers, and Hunter",39012.08307409803
Green-Garcia,39012.05237105147
Obrien-Thomas,39009.48846204464
Novak LLC,39009.111320796736
"Joyce Brady, and Hodges",39008.26698572369
"Bullock Williams, and King",39006.72890513678
Richardson-Bryant,39004.16978134314
"Brown, and Stone Perez",39003.989466692045
Ltd Solis,39003.18143809496
Mitchell-Pope,39002.81060037982
"Davis, and Wall Weiss",39002.74022730056
Camacho-Taylor,39002.52428990688
"Clark, Mcdowell and Walker",39002.30743477626
Chen-Black,39000.85871837543
"and Roberts, Gutierrez Wilkinson",39000.47642644881
Olson-Key,38999.55057168173
"Norton Keller, Cook and",38999.542674173965
"Flynn Lopez, and Lopez",38998.77016647937
"Miles and Wood Livingston,",38997.89608546306
Bullock and Sons,38997.59562532672
"Adams Macias and Arias,",38996.199468143255
Fields-Yang,38994.38746432614
Choi-Murphy,38994.17012595561
and Sons Dillon,38993.346225900896
Alvarez-Payne,38992.26852123343
"Suarez Dillon Martinez, and",38990.85521939585
"Reilly and Anderson Martinez,",38990.44679960962
Stone-Warren,38990.383886145144
"Turner, Garcia and Hood",38990.2691719225
Ramsey-Thomas,38989.5337611512
"Wilkins Hill Patterson, and",38988.80400400876
Stewart-Reed,38988.23481804396
"and Gonzalez Noble, Cabrera",38987.893769763774
"Gutierrez, Rios White and",38987.16992990224
Walters-Hale,38984.84145663513
"and Holland Aguilar, Jackson",38984.70080943411
Daniels-Vargas,38981.366577366
"Parks Conner, and King",38980.29230333072
Brown-Cobb,38979.07328987315
"Nguyen and Cruz Jackson,",38978.77380933795
"Peterson, and Duran Bowman",38978.73826490076
Flowers-Crawford,38978.65692440594
"Wilson Pineda, Gilbert and",38978.56852683327
Martin-Mendez,38977.829182325455
"and Price Combs Horton,",38975.44758466016
Group Perkins,38975.14590643535
Butler-Bennett,38969.15306689453
Inc Peck,38969.08818483714
Gonzalez-Edwards,38968.16683802605
Finley-Jackson,38967.82273527533
Morales-Rodriguez,38967.47565239531
Best-Johnson,38966.872202014594
"Watson Ferguson Terry, and",38963.52042346238
Russell-Richard,38960.536404932136
Garza-Martin,38960.202988283694
"and Fields, Harris Davila",38957.78290985087
"Mendoza May, and Harris",38954.73221822339
Miller-Long,38951.96974577675
Nielsen-Franklin,38950.40219957645
and Mccoy Sons,38950.29275139085
Flowers Group,38950.04693267005
"and Hamilton Wallace, Kim",38949.06252795296
Maynard-Calhoun,38948.35309849247
"Smith and Johnson, Walker",38948.31408214346
"and Dennis Serrano, Davis",38946.637888078025
Kline-Sutton,38945.828625382055
Padilla-Flores,38944.84944423664
"Henry, and Guerrero Johnson",38943.66221782411
Vargas-Stokes,38942.83223947742
"Thompson Nelson, Higgins and",38942.66825162839
"Michael and Evans, Elliott",38942.26001553077
Fields-Rose,38940.46570988581
"and Woodard Juarez Martinez,",38940.352541873806
"Vazquez and Lopez Holland,",38939.602043174425
"Smith Holland, and Hogan",38938.72356460895
Jackson-Nicholson,38937.51303447934
Johnson-Mills,38935.5812652459
"and Tran Olsen Curry,",38934.47156219235
Patel Sons and,38931.74974208077
and Sons Eaton,38929.57463226032
"Lee Howell and Perkins,",38927.88823175533
"Rodriguez and Barton Lane,",38926.82762440493
Whitehead-Bailey,38923.23348195087
Ltd Brock,38921.30398791614
Holmes-Bush,38918.67037405673
Nelson LLC,38917.92286723812
"Watson, Hale and Espinoza",38916.19114116862
Duncan PLC,38916.16386751418
"Collins Colon and Jones,",38912.364960470295
"and Ruiz Pope Huffman,",38910.26885037711
PLC Ramirez,38908.026142403134
"Cole and Nelson, Davies",38907.67676483317
"Cox Lang and Palmer,",38907.14804306769
"and Benson, Patton Conner",38906.983420070384
"Villanueva, Thompson Trujillo and",38904.516941322894
Le Inc,38904.37047726412
"Smith Orozco Smith, and",38899.80809609202
Inc Gay,38898.62902447893
Wells-Bishop,38898.3650582786
"and Young Smith, Nguyen",38897.434100351085
Boyle PLC,38896.40092179493
Clark-Blanchard,38895.44843831415
"Sexton, and Davis Mcdaniel",38894.852024308224
Mccarthy-Smith,38894.53493970995
"and Meyer Salazar Harrison,",38892.47659250255
"Berger Baker, and Hull",38892.26032939903
"Allen Johnson, Meyers and",38891.28740136122
Smith-Carter,38890.863817821846
Perkins-Hernandez,38888.26384081444
Mcgee-Duran,38880.13154443871
"and Grant Johnson, Houston",38878.29939332872
"Jones Harvey, and Bridges",38877.3379726896
"Grant Cox Dixon, and",38876.24381296549
"Nguyen and Melton Mathis,",38872.36959106188
"and Campbell, Smith Taylor",38868.26248291573
"Flores, and Buckley Boone",38867.2321156133
"Allen, and Jensen Hurley",38867.029219458505
Daniels LLC,38865.59603245646
Adams-Mendoza,38864.54892403486
"and Johnson James, Walters",38864.31006902309
Group Randolph,38862.59121312806
"and Richardson Pennington Evans,",38860.8116973773
"and Blackburn Huff, Rios",38860.56416260911
"Thornton, Adams Mccarty and",38860.0208846444
"Patterson, Diaz Hughes and",38858.034621878
"Armstrong Foster Lynch, and",38856.83923440952
Baker-Pineda,38856.18384043663
Chavez Sons and,38855.47325092679
"and Hunter Chan, Hess",38853.823359727634
Garcia-Parker,38850.77693095195
"Perez Glenn, and Harper",38850.33758092528
Hogan-Sanders,38849.69544032475
"Leonard and Turner, Berger",38848.55197396499
"and Smith, Fisher Kelly",38846.89675665455
"and Dalton, Cooper Grant",38846.843337878
Rivera-Mayer,38846.72517573775
Aguirre-Edwards,38846.53258875423
"Martin and Nguyen Gomez,",38845.60512283456
"Villa, and Ray West",38844.488768514406
Morrow-Ramirez,38843.3334778708
James Sons and,38842.9629301943
"Stewart Armstrong, and Brown",38842.430408796026
Wagner-Buck,38842.32118381572
LLC Kerr,38842.27869448024
Jones-Miller,38841.578560432165
"and Newton, Ramirez Smith",38841.44409503839
Pena-Barr,38840.1760702318
Weaver-Short,38837.73190696607
Hale-Hines,38836.62201395726
"Reeves, and Price Munoz",38836.483917479454
"King, Montgomery and Khan",38835.36452994241
Bridges LLC,38834.89298914951
"Camacho, Garcia and Bruce",38830.58373038902
Hayes-Yoder,38830.23225662184
"Escobar and Anderson, Martin",38827.18226978839
Russell-Wallace,38822.82101266199
"Cruz Morris, and Elliott",38821.6510848986
Peters LLC,38819.65735942395
Kaiser-Barrera,38818.30209466511
Bradley-Shepherd,38817.27475528115
"and Harris, Drake Allen",38816.68031759179
Herrera-Robertson,38810.21467364229
"and Osborne Lopez, Castillo",38807.956409904735
Estrada-Thompson,38805.81383398812
Ibarra-Browning,38805.63702209611
"and Duncan Williams Hopkins,",38805.45067215231
Guzman-Daniels,38804.17763882689
Parsons-Villa,38803.33759312379
Inc Peters,38802.440346764
Phillips-Waters,38800.94485542325
"Stewart, Young and Gregory",38800.83949983754
"Escobar Mclaughlin, Zimmerman and",38799.274250154325
and Newman Sons,38795.872259646974
Odom Group,38794.68972845296
PLC Key,38794.43028913954
Roth-Baxter,38794.07501994635
"Collins and Woods Jackson,",38793.01234557663
"Smith, Burton Cervantes and",38792.929604115285
"Ward, Cochran and Castro",38792.59975604957
Lloyd-Tran,38791.67661137416
"Davenport Green, and Walker",38788.65324650077
"Rodriguez and Doyle, Bowen",38788.44568567437
"and Sanford, Simpson Larson",38788.076004375325
Williams-Jacobs,38785.35075838285
Rodriguez-Martinez,38782.60386958282
LLC Hudson,38780.64900418634
Werner-Smith,38780.05925917646
Jackson-Butler,38779.20787465818
"Rogers Evans and Owen,",38774.29389172724
Rogers-Chapman,38773.48672816318
Ltd Rose,38773.09186255594
"Lang and Santos Vaughan,",38771.44045278418
"Chavez Garcia, Kim and",38768.59796497951
Strong-Lowery,38766.98601595893
"Jones Brown, and Rosales",38765.5320094921
"Parker, Garcia and Farmer",38764.29340283474
"and Ruiz Wiley Long,",38764.22616431331
"and Barrett Beck, Smith",38760.20751959124
Garcia-Joseph,38759.82646274357
"Vasquez Jimenez, and Barron",38759.6908304738
"Hurst and Hayes, Lozano",38759.68025053006
Ball-Nguyen,38759.62722757459
"and Curtis Jones, Skinner",38759.53244380084
Brock-Adams,38757.43051270383
"and Conner Burke Gibson,",38756.87503182559
"King, Aguilar and Ellison",38756.29662114665
"and Armstrong, Taylor Burns",38755.950599012
"Hebert and Morgan, Wilson",38755.11345082393
"Ruiz Brooks, and Stanton",38754.97745258123
"Thompson, Howell Quinn and",38754.08039901143
"Stewart Gray Sweeney, and",38754.03007975924
"Richards Edwards and Taylor,",38753.8181469869
"Howard and Cannon Hamilton,",38752.243990685056
Carlson LLC,38752.188593864295
and Hernandez Sons,38750.938543967335
Luna-Taylor,38742.57663585589
"Duffy Donovan, Mccann and",38741.123977086245
Young-Hunter,38739.06636506966
"Gutierrez Vargas, and Snyder",38737.71584415199
"Conway and Parker, Porter",38736.96839343099
Perry-Miller,38735.75723562615
"Burgess Morgan, and Smith",38735.439332096095
Morse-Smith,38733.97478360752
"Wyatt, Koch and Moore",38729.74079972754
Rodriguez-James,38729.10713728471
Daniels-Patterson,38727.66075813319
Ryan-Mitchell,38727.52420893607
Sons and Carrillo,38726.60951119246
Taylor-Flores,38724.167262812734
"and Smith Greene, Lucero",38723.85635863384
"Webb Hunter, and Frost",38723.28619973082
"and Delacruz Davis, Howard",38722.51207697806
Good-Garcia,38720.76609539764
Nguyen-Choi,38720.48406442112
"Barker, Costa Hahn and",38716.355934862506
"Vaughan, Adams and Garcia",38716.054193641794
Powell-Walker,38714.77986019773
"Christian Alexander, Young and",38714.19258492289
Morales-Flynn,38713.486094467735
"Palmer Brown and Gomez,",38712.675869813
"Hill and Moore Barr,",38709.35263541509
"and Melton, Evans Foley",38709.02286076773
Hampton-Walker,38708.63105116245
"Velazquez Prince and Fitzgerald,",38708.3096019997
Robertson-Glass,38707.623502942864
"Mayer Porter, Byrd and",38706.86941683658
Villarreal and Sons,38705.814345795465
"and West Johnson, Morrison",38705.743998296326
"Rocha Townsend, and Casey",38702.050045085794
"Barnes Soto, and Andrade",38699.4947022132
Sons Leon and,38699.02484336249
"Hart Cannon and Hernandez,",38697.33863536223
"Shannon Blake Johnson, and",38696.08753485007
Mcintosh Ltd,38694.29412473759
Lopez-Flowers,38693.98620344489
"Gray Cruz White, and",38692.270749785006
Potts-Jordan,38690.32905610214
and Sons Melton,38689.308344499965
and Chavez Sons,38689.11279380508
"Perez, Wang and Alexander",38687.69874619787
"and Ramirez Sampson, Cobb",38685.32787722601
Davis-Carlson,38684.68089647078
Lane-Martinez,38679.88435697799
"Smith Liu and Harris,",38679.832662568326
Molina-Clark,38678.30719948298
Francis and Sons,38677.72646369587
"Gonzalez Green Nelson, and",38677.55839640166
"Lawrence and Sellers, Williams",38676.66471904221
Lynch-Martinez,38676.60269385074
Vaughn-Williamson,38676.1902138975
Fernandez-Vasquez,38673.18935519606
"Adams Marshall, Taylor and",38672.10680843304
Martin-Gonzalez,38671.850260041225
Miller-Alvarez,38670.328429354195
"Rodriguez Christensen Brown, and",38670.13548268282
Green-Montgomery,38668.95533933774
Rodriguez-Arnold,38668.694588676415
"Bullock, and Dixon Martinez",38668.44616989661
Mullins LLC,38665.386739007365
PLC Zuniga,38665.24107166119
"Jones, Banks Avery and",38664.01521700559
"Carr, Dunn Mcmillan and",38660.85875460373
"Rice Bennett, Harris and",38660.84769167032
"Nielsen and Moore Hansen,",38660.00195918731
"Leonard Ramirez, Hunter and",38656.83198550058
Osborn-Long,38656.70413978156
Brock-Cannon,38656.1303969296
Adams-Lee,38656.08286353556
Stewart-Gibbs,38655.30353751005
Herring-Watts,38654.73821438459
"Sawyer Rodriguez, Carter and",38654.644992172485
Trevino-Bennett,38654.425759383565
Small-Fields,38654.22025056741
"and Harmon Smith, Davis",38654.20018716418
Baker-Morrison,38651.92970737601
"and Moore Wiggins, Rubio",38650.68715967936
"Grant, Barnes Cameron and",38649.21910010128
Wright-Burns,38649.11549511142
Mueller-Rivera,38648.52249813903
"and Buchanan, Boyd Roberts",38645.412017045484
Buck-Sanders,38645.30100672061
